1; -0.010496168831, -0.088818923513,  1.000000000000
2; -0.027433032274, -0.239713530809,  1.000000000000
3;  0.243553622597,  0.922208857722,  1.000000000000
4;  0.010232818900,  0.983443688963,  1.000000000000
5;  0.032940019442, -0.487928707706,  1.000000000000
6;  0.118362937078, -0.534103050731,  1.000000000000
7; -0.038627492248,  0.581978083280,  1.000000000000
8; -0.057409551116,  0.467002690726,  1.000000000000
9;  0.262290837652, -0.839987628165,  1.000000000000
10; -0.185494174710,  0.911264349510,  1.000000000000
11;  0.639087653677, -0.136223122893,  1.000000000000
12; -0.314385134963, -0.186191941921,  1.000000000000
13; -0.260241480869,  0.784855575731,  1.000000000000
14; -0.539018025385,  0.544631515116,  1.000000000000
15; -0.182229082051, -0.216374972323,  1.000000000000
16; -0.010921296169, -0.122750963735,  1.000000000000
17;  0.319401043345,  0.165885098598,  1.000000000000
18; -0.696912860816,  0.061881920741,  1.000000000000
19; -0.060258237558,  0.120521501054,  1.000000000000
20; -0.212852260720, -0.381974392722,  1.000000000000
21; -0.002498132303, -0.380687753344,  1.000000000000
22; -0.587006178304,  0.568507731023,  1.000000000000
23;  0.745319033876, -0.552859228539,  1.000000000000
24; -0.234504930595, -0.743857930397,  1.000000000000
25; -0.993162853284,  0.058860300009,  1.000000000000
26;  0.304302799699,  0.335922256558,  1.000000000000
27;  0.147332745581,  0.784340317845,  1.000000000000
28; -0.386804021980,  0.614222723752,  1.000000000000
29;  0.255516906508, -0.471007547098,  1.000000000000
30;  0.104405143259, -0.464055256456,  1.000000000000
31;  0.019071631228,  0.021962662748,  1.000000000000
32;  0.219142350510, -0.778217331141,  1.000000000000
33;  0.871193900142, -0.164550225380,  1.000000000000
34;  0.030764450861,  0.068079739974,  1.000000000000
35;  0.157558530323, -0.616099201106,  1.000000000000
36; -0.128724324769,  0.276373602960,  1.000000000000
37;  0.380950180390,  0.625617577718,  1.000000000000
38;  0.009031236202, -0.073146126327,  1.000000000000
39; -0.939885982027,  0.201271286028,  1.000000000000
40;  0.001305304556, -0.000154344055,  1.000000000000
41;  0.162104505320,  0.252176519939,  1.000000000000
42; -0.000163701307,  0.348624399226,  1.000000000000
43; -0.179911649581,  0.734355037745,  1.000000000000
44; -0.743751144786, -0.510298251156,  1.000000000000
45; -0.219285589256, -0.351411811186,  1.000000000000
46;  0.229368869571,  0.009968717624,  1.000000000000
47;  0.071648817592,  0.242163121072,  1.000000000000
48;  0.229188580229, -0.710366235636,  1.000000000000
49;  0.226775991751, -0.466800026678,  1.000000000000
50;  0.881356181400,  0.396909286628,  1.000000000000
51;  0.046342269040, -0.126354884201,  1.000000000000
52; -0.282814177805,  0.296697454497,  1.000000000000
53; -0.418901744749,  0.187858529752,  1.000000000000
54; -0.228191156234,  0.452588526228,  1.000000000000
55;  0.317489914535, -0.726695569274,  1.000000000000
56; -0.378137482006, -0.406496017191,  1.000000000000
57;  0.032450409191, -0.303228538708,  1.000000000000
58;  0.545894728642, -0.107428724057,  1.000000000000
59;  0.378850087413, -0.375418862404,  1.000000000000
60; -0.724917476548, -0.218991542237,  1.000000000000
61; -0.005413319209, -0.003794496248,  1.000000000000
62; -0.627821098140, -0.101707886885,  1.000000000000
63; -0.031187599955,  0.161304044397,  1.000000000000
64;  0.538075096581, -0.575845101839,  1.000000000000
65;  0.893400146252,  0.260481493150,  1.000000000000
66; -0.812756432339, -0.397635464849,  1.000000000000
67; -0.084625573832,  0.168180777123,  1.000000000000
68; -0.302830131035,  0.230152881942,  1.000000000000
69;  0.729805491807,  0.579977154357,  1.000000000000
70; -0.234191383517,  0.680494665107,  1.000000000000
71; -0.084626756878,  0.351677482589,  1.000000000000
72; -0.162462384591,  0.773291174680,  1.000000000000
73;  0.351712597360, -0.237310984337,  1.000000000000
74; -0.497361705253, -0.794211285524,  1.000000000000
75; -0.676599447978,  0.659806162275,  1.000000000000
76; -0.047864253269,  0.179616976456,  1.000000000000
77;  0.040706515658,  0.458109594009,  1.000000000000
78; -0.673845600695,  0.436118512263,  1.000000000000
79;  0.128629539407,  0.117110081251,  1.000000000000
80;  0.257543429455,  0.440290700286,  1.000000000000
81;  0.206853714863,  0.846041006329,  1.000000000000
82;  0.367590821164, -0.304552500473,  1.000000000000
83;  0.091957614642,  0.727780863918,  1.000000000000
84; -0.734615835919,  0.633075098009,  1.000000000000
85; -0.355340211795, -0.147542162420,  1.000000000000
86;  0.091518479192,  0.130419986031,  1.000000000000
87; -0.034407320732, -0.107918938343,  1.000000000000
88;  0.143571850779,  0.529312535592,  1.000000000000
89; -0.076068546622, -0.415128869452,  1.000000000000
90; -0.257884388886, -0.367311902810,  1.000000000000
91;  0.228704913589, -0.766155335660,  1.000000000000
92;  0.329696963189, -0.501079346861,  1.000000000000
93; -0.906861473395,  0.275968565635,  1.000000000000
94; -0.308860653965,  0.207933698313,  1.000000000000
95; -0.582831933233,  0.754333819895,  1.000000000000
96;  0.530232241400,  0.529414638292,  1.000000000000
97;  0.614366043914, -0.343045182554,  1.000000000000
98; -0.452068766161,  0.120689074704,  1.000000000000
99;  0.024054687061,  0.008971379814,  1.000000000000
100; -0.029070342163,  0.005105163419,  1.000000000000
